feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,target
27.75,55.0,B,875.98,No,8,44.16,0
31.33,39.0,C,839.91,No,4,13.93,1
23.87,10.0,A,1364.7,Yes,4,15.16,0
35.64,34.0,C,1462.07,No,4,15.71,1
,,C,710.61,No,8,13.77,1
28.0,99.0,B,855.72,Yes,3,,0
28.46,29.0,C,853.7,No,5,22.65,0
29.21,59.0,C,1122.96,No,6,4.75,0
34.03,18.0,C,1289.26,Yes,2,24.1,0
42.65,47.0,A,1600.5,No,7,2.07,1
30.63,38.0,B,1126.63,Yes,6,,0
24.87,17.0,B,1432.68,Yes,6,8.25,0
27.11,46.0,C,,Yes,9,2.32,1
24.43,24.0,A,990.39,No,5,2.88,0
25.56,12.0,B,734.5,Yes,5,21.46,0
31.83,,C,1494.89,Yes,4,17.16,1
22.43,79.0,B,899.0,Yes,5,28.22,0
28.2,44.0,A,773.48,No,6,60.48,0
23.18,83.0,A,1011.55,Yes,1,,0
25.85,2.0,B,1124.87,No,1,22.09,0
28.68,56.0,A,1343.48,Yes,7,13.25,0
30.83,53.0,A,593.62,No,6,5.01,0
27.36,71.0,C,524.94,Yes,2,2.19,1
40.37,74.0,A,1629.13,No,3,21.05,0
37.07,54.0,C,717.25,No,8,1076.8500000000001,0
29.31,43.0,A,1046.06,No,5,14.77,1
40.43,22.0,C,972.24,No,6,2.07,1
25.91,22.0,C,1242.03,Yes,2,4.86,0
26.77,9.0,A,7967.1,Yes,7,8.11,0
32.33,,B,1260.54,Yes,4,43.61,0
38.02,85.0,B,1202.15,Yes,9,3.53,0
21.77,,A,1269.32,No,6,17.51,1
31.05,17.0,A,688.56,No,5,15.18,0
25.63,11.0,C,1147.06,Yes,3,40.75,0
25.92,35.0,B,1594.55,No,4,4.11,1
29.55,1.0,B,831.9,No,6,21.15,1
22.29,32.0,C,895.78,No,5,9.08,0
29.1,46.0,C,587.0,Yes,8,11.95,0
25.41,,A,783.28,Yes,3,3.58,1
25.16,10.0,A,1352.45,No,5,30.17,0
24.68,40.0,A,1092.19,No,4,10.03,0
38.38,81.0,C,401.17,No,4,10.12,1
18.86,48.0,B,1295.71,Yes,9,23.4,0
30.58,9.0,C,1355.24,Yes,5,21.71,1
32.34,25.0,B,1218.84,No,1,6.02,0
31.69,44.0,A,869.24,Yes,2,14.22,0
31.16,11.0,C,1016.31,No,9,11.67,0
33.82,12.0,C,827.87,Yes,2,1.74,0
36.22,35.0,C,808.61,Yes,9,47.7,1
31.66,44.0,B,1306.5,No,9,12.36,1
39.12,21.0,C,1164.5,No,5,33.72,0
36.08,27.0,C,984.21,Yes,8,10.45,0
30.48,45.0,B,1232.4,Yes,6,35.22,0
,31.0,C,1117.94,Yes,8,15.19,0
29.69,11.0,A,631.03,No,5,3.89,0
37.01,42.0,B,,No,5,0.16,0
27.64,53.0,A,1200.84,Yes,1,15.84,1
34.75,40.0,B,1030.9,Yes,2,42.98,1
30.54,67.0,B,1099.72,Yes,5,8.52,0
20.24,19.0,C,9950.5,Yes,6,10.06,0
32.67,1.0,A,1050.26,Yes,8,0.84,0
,1.0,A,857.9,Yes,7,88.64,0
29.97,73.0,C,1293.3,No,5,14.77,1
23.08,29.0,A,1027.73,No,8,2.3,0
39.15,0.0,A,1125.64,No,8,1.57,1
,38.0,B,1000.88,Yes,8,18.94,0
31.73,74.0,B,948.51,Yes,1,23.28,0
27.8,56.0,B,710.36,Yes,7,,0
34.49,5.0,C,1705.31,Yes,1,,0
25.74,77.0,B,742.36,No,8,1.43,1
29.49,15.0,B,720.41,Yes,1,13.95,0
,33.0,C,933.24,Yes,5,63.74,0
23.05,53.0,A,949.28,Yes,9,22.98,0
32.17,,C,1767.01,Yes,6,10.18,1
31.34,83.0,B,1088.63,Yes,2,,0
29.15,67.0,B,592.91,Yes,2,3.42,0
33.6,91.0,B,853.03,Yes,5,26.88,0
35.41,7.0,C,1444.02,Yes,3,11.06,0
25.74,51.0,B,1375.57,Yes,1,6.21,0
21.11,95.0,A,1081.33,No,3,8.74,1
32.51,89.0,B,1088.06,Yes,6,16.13,1
22.34,56.0,A,1314.31,No,8,13.11,0
32.44,74.0,A,845.98,No,1,30.39,0
,54.0,A,1271.66,Yes,8,18.59,0
34.71,34.0,A,1210.86,Yes,9,1.89,1
30.19,87.0,C,1035.73,Yes,9,45.0,1
26.55,97.0,A,1192.42,No,9,5.68,0
26.5,89.0,B,1407.9,Yes,2,14.79,0
18.01,59.0,A,883.16,No,2,0.66,0
30.27,,C,1016.07,No,8,25.69,0
30.03,,B,1714.4,No,3,12.94,0
33.27,51.0,A,1478.47,No,3,22.69,1
24.85,57.0,C,10293.599999999999,Yes,9,13.39,0
30.88,70.0,C,177.83,Yes,3,2.53,1
28.62,87.0,C,741.26,No,4,64.62,0
29.76,81.0,B,1485.11,No,9,6.15,0
31.74,30.0,B,1106.92,No,9,,1
29.46,25.0,A,1207.22,No,4,,1
30.26,67.0,B,,Yes,4,10.61,1
32.04,18.0,B,722.42,No,1,29.94,0
,,B,1445.59,No,9,4.99,0
24.28,92.0,A,601.26,Yes,6,19.38,0
25.95,96.0,C,1303.51,Yes,4,7.64,0
32.43,63.0,C,1126.45,Yes,8,17.53,0
11.99,25.0,C,1436.99,No,1,4.17,1
27.88,54.0,B,824.45,No,6,,0
,38.0,C,665.87,Yes,8,5.88,0
,78.0,C,1022.68,Yes,3,17.93,1
36.14,3.0,A,1393.43,No,3,44.46,0
24.47,53.0,A,539.59,Yes,7,3.46,0
31.67,3.0,B,928.21,No,9,59.77,1
31.01,47.0,A,656.08,No,1,10.37,0
32.93,88.0,C,1282.85,No,1,1.17,1
32.31,9.0,C,496.82,No,3,87.63,1
34.82,25.0,A,957.74,Yes,3,22.5,1
,96.0,A,969.63,No,4,3.36,0
29.07,34.0,B,876.29,Yes,4,7.69,0
32.39,31.0,A,1041.97,Yes,4,2.55,0
32.52,21.0,A,,No,2,8.2,1
28.55,34.0,C,1309.37,Yes,5,13.69,0
30.46,,B,1807.34,No,6,15.73,0
31.16,67.0,C,1027.91,Yes,2,40.33,1
24.21,57.0,A,1369.05,Yes,5,27.64,1
33.19,21.0,C,587.37,Yes,1,3.9000000000000004,1
27.36,92.0,A,1155.83,Yes,9,5.55,0
32.17,99.0,A,1529.37,Yes,9,1.96,0
34.02,86.0,C,1434.99,No,7,13.29,0
32.6,7.0,B,619.37,Yes,4,33.38,0
24.54,8.0,C,1132.46,No,4,74.01,1
25.24,64.0,A,1380.09,No,5,4.79,1
36.0,,C,1027.47,Yes,8,2.32,1
34.6,83.0,B,456.46,Yes,2,67.52,1
36.65,96.0,B,1149.08,Yes,4,44.58,1
37.69,38.0,A,912.38,Yes,4,,1
33.89,44.0,A,669.52,Yes,2,4.57,0
28.94,40.0,A,,Yes,8,1.78,1
24.13,4.0,A,,No,9,23.59,0
40.22,23.0,C,447.14,Yes,2,6.62,1
34.17,14.0,C,843.48,Yes,2,7.76,1
25.09,70.0,A,979.34,No,4,3.98,0
23.14,59.0,B,546.74,No,1,4.81,1
31.87,44.0,B,1029.76,No,3,19.3,1
36.85,94.0,A,1410.25,Yes,4,5.56,1
30.32,66.0,C,941.66,No,6,99.78,0
28.02,49.0,B,1464.12,No,3,3.51,0
30.89,,A,712.05,No,8,17.18,1
34.15,4.0,A,578.3,No,6,39.58,1
34.58,60.0,C,1151.93,Yes,7,42.9,0
27.4,45.0,B,1384.05,Yes,1,14.58,0
24.01,88.0,B,1252.51,Yes,1,16.73,0
23.96,57.0,C,910.14,No,8,4.61,1
,58.0,C,752.49,No,4,6.25,0
38.56,98.0,A,1076.53,No,6,8.4,0
27.35,63.0,B,845.74,Yes,2,30.9,0
38.34,,A,511.53,Yes,5,4.66,1
29.15,57.0,C,862.64,Yes,4,11.36,0
33.55,37.0,B,1176.92,Yes,9,0.18,1
33.71,67.0,C,901.32,No,5,0.75,0
28.06,99.0,B,1330.67,No,5,15.37,0
35.33,6.0,C,955.66,Yes,5,24.26,0
40.97,11.0,A,1303.75,No,6,19.68,0
27.21,86.0,A,1207.92,Yes,8,17.6,0
,18.0,B,1376.17,No,2,,0
,8.0,B,823.45,Yes,8,3.91,1
28.61,54.0,A,1308.53,Yes,6,13.79,1
29.74,49.0,C,,No,2,11.03,1
20.69,67.0,C,780.23,Yes,3,24.49,0
26.97,58.0,A,1379.98,Yes,2,10.53,1
35.79,24.0,C,1423.39,No,2,1.24,0
22.48,3.0,C,1658.15,No,6,26.75,1
29.46,98.0,B,1482.41,No,5,32.51,0
31.47,52.0,B,1293.08,Yes,9,27.77,0
26.11,10.0,A,881.6,Yes,3,5.99,1
23.49,89.0,C,1083.56,Yes,1,0.41,0
40.88,48.0,A,806.93,Yes,2,,0
26.9,20.0,B,1010.76,Yes,9,5.3,0
29.8,6.0,A,464.33,Yes,6,5.18,0
33.49,75.0,C,691.02,Yes,5,28.98,1
33.43,27.0,B,1180.41,No,3,9.81,0
30.22,40.0,A,,No,9,14.03,1
39.51,9.0,C,,Yes,2,1.69,1
32.94,30.0,C,472.34,No,5,13.67,0
28.36,98.0,A,840.79,No,2,9.91,0
26.04,0.0,A,673.39,Yes,8,16.96,1
28.75,70.0,B,1284.96,No,6,32.05,0
24.67,1.0,C,794.31,Yes,4,14.46,0
29.23,93.0,C,848.28,No,4,4.71,0
31.6,76.0,C,1480.39,No,6,59.61,0
